Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:52:17.50+11:18:49.9,NGVS193.07291+11.313853_VCC2092,0.348,193.0729,11.3138628,-100.0,-100.0,1,266,139.57753920937606,0.8386,15.1,10.895
NGVSJ12:52:55.97+11:13:51.5,NGVS193.23325+11.230949_VCC2095,0.28600000000000003,193.2332268,11.230975500000001,-100.0,-100.0,1,267,170.85561905315217,0.53349996,31.01,10.838
NGVSJ12:31:41.52+11:48:04.6,NGVS12:31:41.501+11:48:04.82+0+0,1.15,187.92299519999997,11.801291099999998,143.582,157.02,0,268,8.647058736831747,0.95,-45.0,23.386999999999997
NGVSJ12:29:03.26+12:05:58.9,NGVS12:29:03.242+12:05:59.06-1+0,0.895,187.2635749,12.0997045,144.221,155.874,0,269,28.61497236445625,0.95,-45.0,22.148000000000003
NGVSJ12:29:39.32+12:25:00.3,NGVS12:29:39.221+12:25:03.91-1+0,1.228,187.4138291,12.416737699999999,144.389,133.213,0,270,15.850267308281069,0.4745,34.42,21.226999999999997
NGVSJ12:33:07.97+12:30:08.9,NGVS12:33:07.949+12:30:09.09+0+1,-0.027000000000000003,188.28319409999997,12.5024722,147.15,154.195,0,271,39.518715863559336,0.95,-45.0,21.683000000000003
NGVSJ12:28:27.72+12:33:29.9,NGVS12:28:27.674+12:33:29.92-1+1,-0.09699999999999999,187.1154978,12.558296499999999,147.328,154.048,0,272,15.04278055486832,0.62520003,79.0,22.233
NGVSJ12:28:21.59+12:38:45.4,NGVS12:28:21.564+12:38:44.80-1+1,0.076,187.0899604,12.6459429,148.416,157.996,0,273,19.582887384343273,0.6129,-0.05,21.721
NGVSJ12:28:48.93+11:53:10.4,NGVS12:28:48.931+11:53:09.74-1+0,0.877,187.2038858,11.8862171,148.618,156.034,0,274,20.748663713587803,0.5999,-45.0,21.449
NGVSJ12:27:20.29+11:41:42.8,NGVS12:27:20.210+11:41:42.68-1+0,0.24,186.8345244,11.6952175,148.655,155.953,0,275,29.481283483658245,0.95,-45.0,20.678
